datetime,outlet,visitor
2018-02-25 12:00:00,A,479
2018-02-25 12:00:00,B,47
2018-02-25 12:00:00,C,115
2018-02-25 12:00:00,D,45
2018-02-25 12:00:00,E,1095
2018-02-25 13:00:00,A,541
2018-02-25 13:00:00,B,53
2018-02-25 13:00:00,C,112
2018-02-25 13:00:00,D,46
2018-02-25 13:00:00,E,1350
2018-02-25 14:00:00,A,506
2018-02-25 14:00:00,B,48
2018-02-25 14:00:00,C,116
2018-02-25 14:00:00,D,58
2018-02-25 14:00:00,E,1426
2018-02-25 15:00:00,A,518
2018-02-25 15:00:00,B,49
2018-02-25 15:00:00,C,87
2018-02-25 15:00:00,D,47
2018-02-25 15:00:00,E,1325
2018-02-25 16:00:00,A,559
2018-02-25 16:00:00,B,46
2018-02-25 16:00:00,C,93
2018-02-25 16:00:00,D,47
2018-02-25 16:00:00,E,1398
2018-02-25 17:00:00,A,567
2018-02-25 17:00:00,B,60
2018-02-25 17:00:00,C,94
2018-02-25 17:00:00,D,47
2018-02-25 17:00:00,E,1454
2018-02-25 18:00:00,A,579
2018-02-25 18:00:00,B,32
2018-02-25 18:00:00,C,74
2018-02-25 18:00:00,D,63
2018-02-25 18:00:00,E,1456
2018-02-25 19:00:00,A,620
2018-02-25 19:00:00,B,43
2018-02-25 19:00:00,C,89
2018-02-25 19:00:00,D,55
2018-02-25 19:00:00,E,1842
2018-02-25 20:00:00,A,528
2018-02-25 20:00:00,B,34
2018-02-25 20:00:00,C,85
2018-02-25 20:00:00,D,69
2018-02-25 20:00:00,E,1804
2018-02-25 21:00:00,A,285
2018-02-25 21:00:00,B,4
2018-02-25 21:00:00,C,45
2018-02-25 21:00:00,D,88
2018-02-25 21:00:00,E,1430
2018-02-25 22:00:00,A,98
2018-02-25 22:00:00,B,0
2018-02-25 22:00:00,C,6
2018-02-25 22:00:00,D,43
2018-02-25 22:00:00,E,1024
2018-02-25 23:00:00,A,34
2018-02-25 23:00:00,B,0
2018-02-25 23:00:00,C,2
2018-02-25 23:00:00,D,7
2018-02-25 23:00:00,E,494
2018-02-26 00:00:00,A,8
2018-02-26 00:00:00,B,0
2018-02-26 00:00:00,C,0
2018-02-26 00:00:00,D,0
2018-02-26 00:00:00,E,190
2018-02-26 01:00:00,A,3
2018-02-26 01:00:00,B,0
2018-02-26 01:00:00,C,0
2018-02-26 01:00:00,D,0
2018-02-26 01:00:00,E,69
2018-02-26 02:00:00,A,0
2018-02-26 02:00:00,B,0
2018-02-26 02:00:00,C,0
2018-02-26 02:00:00,D,0
2018-02-26 02:00:00,E,14
2018-02-26 03:00:00,A,0
2018-02-26 03:00:00,B,0
2018-02-26 03:00:00,C,0
2018-02-26 03:00:00,D,0
2018-02-26 03:00:00,E,9
2018-02-26 04:00:00,A,0
2018-02-26 04:00:00,B,0
2018-02-26 04:00:00,C,0
2018-02-26 04:00:00,D,0
2018-02-26 04:00:00,E,1
2018-02-26 05:00:00,A,0
2018-02-26 05:00:00,B,0
2018-02-26 05:00:00,C,0
2018-02-26 05:00:00,D,0
2018-02-26 05:00:00,E,1
2018-02-26 06:00:00,A,0
2018-02-26 06:00:00,B,0
2018-02-26 06:00:00,C,0
2018-02-26 06:00:00,D,0
2018-02-26 06:00:00,E,10
2018-02-26 07:00:00,A,2
2018-02-26 07:00:00,B,0
2018-02-26 07:00:00,C,0
2018-02-26 07:00:00,D,0
2018-02-26 07:00:00,E,41
2018-02-26 08:00:00,A,3
2018-02-26 08:00:00,B,0
2018-02-26 08:00:00,C,0
2018-02-26 08:00:00,D,0
2018-02-26 08:00:00,E,93
2018-02-26 09:00:00,A,12
2018-02-26 09:00:00,B,0
2018-02-26 09:00:00,C,6
2018-02-26 09:00:00,D,6
2018-02-26 09:00:00,E,138
2018-02-26 10:00:00,A,87
2018-02-26 10:00:00,B,7
2018-02-26 10:00:00,C,26
2018-02-26 10:00:00,D,13
2018-02-26 10:00:00,E,292
2018-02-26 11:00:00,A,209
2018-02-26 11:00:00,B,18
2018-02-26 11:00:00,C,63
2018-02-26 11:00:00,D,26
2018-02-26 11:00:00,E,593
2018-02-26 12:00:00,A,275
2018-02-26 12:00:00,B,31
2018-02-26 12:00:00,C,83
2018-02-26 12:00:00,D,25
2018-02-26 12:00:00,E,878
2018-02-26 13:00:00,A,285
2018-02-26 13:00:00,B,26
2018-02-26 13:00:00,C,70
2018-02-26 13:00:00,D,41
2018-02-26 13:00:00,E,799
2018-02-26 14:00:00,A,266
2018-02-26 14:00:00,B,22
2018-02-26 14:00:00,C,55
2018-02-26 14:00:00,D,32
2018-02-26 14:00:00,E,804
2018-02-26 15:00:00,A,270
2018-02-26 15:00:00,B,19
2018-02-26 15:00:00,C,53
2018-02-26 15:00:00,D,29
2018-02-26 15:00:00,E,849
2018-02-26 16:00:00,A,287
2018-02-26 16:00:00,B,21
2018-02-26 16:00:00,C,45
2018-02-26 16:00:00,D,39
2018-02-26 16:00:00,E,847
2018-02-26 17:00:00,A,348
2018-02-26 17:00:00,B,21
2018-02-26 17:00:00,C,65
2018-02-26 17:00:00,D,46
2018-02-26 17:00:00,E,1033
2018-02-26 18:00:00,A,384
2018-02-26 18:00:00,B,34
2018-02-26 18:00:00,C,84
2018-02-26 18:00:00,D,42
2018-02-26 18:00:00,E,1251
2018-02-26 19:00:00,A,439
2018-02-26 19:00:00,B,34
2018-02-26 19:00:00,C,72
2018-02-26 19:00:00,D,72
2018-02-26 19:00:00,E,1428
2018-02-26 20:00:00,A,320
2018-02-26 20:00:00,B,19
2018-02-26 20:00:00,C,63
2018-02-26 20:00:00,D,47
2018-02-26 20:00:00,E,1381
2018-02-26 21:00:00,A,247
2018-02-26 21:00:00,B,7
2018-02-26 21:00:00,C,37
2018-02-26 21:00:00,D,38
2018-02-26 21:00:00,E,1212
2018-02-26 22:00:00,A,75
2018-02-26 22:00:00,B,0
2018-02-26 22:00:00,C,3
2018-02-26 22:00:00,D,27
2018-02-26 22:00:00,E,881
2018-02-26 23:00:00,A,29
2018-02-26 23:00:00,B,0
2018-02-26 23:00:00,C,0
2018-02-26 23:00:00,D,2
2018-02-26 23:00:00,E,460
2018-02-27 00:00:00,A,15
2018-02-27 00:00:00,B,0
2018-02-27 00:00:00,C,0
2018-02-27 00:00:00,D,0
2018-02-27 00:00:00,E,185
2018-02-27 01:00:00,A,0
2018-02-27 01:00:00,B,0
2018-02-27 01:00:00,C,0
2018-02-27 01:00:00,D,0
2018-02-27 01:00:00,E,78
2018-02-27 02:00:00,A,0
2018-02-27 02:00:00,B,0
2018-02-27 02:00:00,C,0
2018-02-27 02:00:00,D,0
2018-02-27 02:00:00,E,22
2018-02-27 03:00:00,A,0
2018-02-27 03:00:00,B,0
2018-02-27 03:00:00,C,0
2018-02-27 03:00:00,D,0
2018-02-27 03:00:00,E,7
2018-02-27 04:00:00,A,0
2018-02-27 04:00:00,B,0
2018-02-27 04:00:00,C,0
2018-02-27 04:00:00,D,0
2018-02-27 04:00:00,E,3
2018-02-27 05:00:00,A,0
2018-02-27 05:00:00,B,0
2018-02-27 05:00:00,C,0
2018-02-27 05:00:00,D,0
2018-02-27 05:00:00,E,2
2018-02-27 06:00:00,A,0
2018-02-27 06:00:00,B,0
2018-02-27 06:00:00,C,0
2018-02-27 06:00:00,D,0
2018-02-27 06:00:00,E,14
2018-02-27 07:00:00,A,0
2018-02-27 07:00:00,B,0
2018-02-27 07:00:00,C,2
2018-02-27 07:00:00,D,0
2018-02-27 07:00:00,E,61
2018-02-27 08:00:00,A,4
2018-02-27 08:00:00,B,0
2018-02-27 08:00:00,C,2
2018-02-27 08:00:00,D,0
2018-02-27 08:00:00,E,110
2018-02-27 09:00:00,A,29
2018-02-27 09:00:00,B,2
2018-02-27 09:00:00,C,9
2018-02-27 09:00:00,D,5
2018-02-27 09:00:00,E,141
2018-02-27 10:00:00,A,105
2018-02-27 10:00:00,B,9
2018-02-27 10:00:00,C,39
2018-02-27 10:00:00,D,15
2018-02-27 10:00:00,E,317
2018-02-27 11:00:00,A,222
2018-02-27 11:00:00,B,31
2018-02-27 11:00:00,C,65
2018-02-27 11:00:00,D,34
2018-02-27 11:00:00,E,527
2018-02-27 12:00:00,A,344
2018-02-27 12:00:00,B,33
2018-02-27 12:00:00,C,105
2018-02-27 12:00:00,D,35
2018-02-27 12:00:00,E,915
2018-02-27 13:00:00,A,279
2018-02-27 13:00:00,B,19
2018-02-27 13:00:00,C,62
2018-02-27 13:00:00,D,28
2018-02-27 13:00:00,E,800
2018-02-27 14:00:00,A,252
2018-02-27 14:00:00,B,26
2018-02-27 14:00:00,C,50
2018-02-27 14:00:00,D,21
2018-02-27 14:00:00,E,815
2018-02-27 15:00:00,A,301
2018-02-27 15:00:00,B,28
2018-02-27 15:00:00,C,33
2018-02-27 15:00:00,D,31
2018-02-27 15:00:00,E,856
2018-02-27 16:00:00,A,287
2018-02-27 16:00:00,B,30
2018-02-27 16:00:00,C,52
2018-02-27 16:00:00,D,45
2018-02-27 16:00:00,E,978
2018-02-27 17:00:00,A,359
2018-02-27 17:00:00,B,47
2018-02-27 17:00:00,C,52
2018-02-27 17:00:00,D,46
2018-02-27 17:00:00,E,1069
2018-02-27 18:00:00,A,353
2018-02-27 18:00:00,B,32
2018-02-27 18:00:00,C,67
2018-02-27 18:00:00,D,59
2018-02-27 18:00:00,E,1194
2018-02-27 19:00:00,A,454
2018-02-27 19:00:00,B,29
2018-02-27 19:00:00,C,65
2018-02-27 19:00:00,D,58
2018-02-27 19:00:00,E,1454
2018-02-27 20:00:00,A,384
2018-02-27 20:00:00,B,30
2018-02-27 20:00:00,C,54
2018-02-27 20:00:00,D,38
2018-02-27 20:00:00,E,1572
2018-02-27 21:00:00,A,209
2018-02-27 21:00:00,B,3
2018-02-27 21:00:00,C,38
2018-02-27 21:00:00,D,50
2018-02-27 21:00:00,E,1361
2018-02-27 22:00:00,A,68
2018-02-27 22:00:00,B,0
2018-02-27 22:00:00,C,6
2018-02-27 22:00:00,D,17
2018-02-27 22:00:00,E,967
2018-02-27 23:00:00,A,30
2018-02-27 23:00:00,B,0
2018-02-27 23:00:00,C,0
2018-02-27 23:00:00,D,1
2018-02-27 23:00:00,E,477
2018-02-28 00:00:00,A,11
2018-02-28 00:00:00,B,0
2018-02-28 00:00:00,C,0
2018-02-28 00:00:00,D,0
2018-02-28 00:00:00,E,188
2018-02-28 01:00:00,A,0
2018-02-28 01:00:00,B,0
2018-02-28 01:00:00,C,0
2018-02-28 01:00:00,D,0
2018-02-28 01:00:00,E,69
2018-02-28 02:00:00,A,0
2018-02-28 02:00:00,B,0
2018-02-28 02:00:00,C,0
2018-02-28 02:00:00,D,0
2018-02-28 02:00:00,E,15
2018-02-28 03:00:00,A,0
2018-02-28 03:00:00,B,0
2018-02-28 03:00:00,C,0
2018-02-28 03:00:00,D,0
2018-02-28 03:00:00,E,5
2018-02-28 04:00:00,A,0
2018-02-28 04:00:00,B,0
2018-02-28 04:00:00,C,0
2018-02-28 04:00:00,D,0
2018-02-28 04:00:00,E,6
2018-02-28 05:00:00,A,0
2018-02-28 05:00:00,B,0
2018-02-28 05:00:00,C,0
2018-02-28 05:00:00,D,0
2018-02-28 05:00:00,E,2
2018-02-28 06:00:00,A,0
2018-02-28 06:00:00,B,0
2018-02-28 06:00:00,C,0
2018-02-28 06:00:00,D,0
2018-02-28 06:00:00,E,10
2018-02-28 07:00:00,A,3
2018-02-28 07:00:00,B,0
2018-02-28 07:00:00,C,0
2018-02-28 07:00:00,D,0
2018-02-28 07:00:00,E,62
2018-02-28 08:00:00,A,13
2018-02-28 08:00:00,B,0
2018-02-28 08:00:00,C,1
2018-02-28 08:00:00,D,0
2018-02-28 08:00:00,E,92
2018-02-28 09:00:00,A,20
2018-02-28 09:00:00,B,0
2018-02-28 09:00:00,C,12
2018-02-28 09:00:00,D,3
2018-02-28 09:00:00,E,117
2018-02-28 10:00:00,A,117
2018-02-28 10:00:00,B,8
2018-02-28 10:00:00,C,32
2018-02-28 10:00:00,D,10
2018-02-28 10:00:00,E,345
2018-02-28 11:00:00,A,237
2018-02-28 11:00:00,B,29
2018-02-28 11:00:00,C,57
2018-02-28 11:00:00,D,21
2018-02-28 11:00:00,E,642
2018-02-28 12:00:00,A,340
2018-02-28 12:00:00,B,36
2018-02-28 12:00:00,C,103
2018-02-28 12:00:00,D,29
2018-02-28 12:00:00,E,941
2018-02-28 13:00:00,A,299
2018-02-28 13:00:00,B,30
2018-02-28 13:00:00,C,68
2018-02-28 13:00:00,D,31
2018-02-28 13:00:00,E,911
2018-02-28 14:00:00,A,317
2018-02-28 14:00:00,B,23
2018-02-28 14:00:00,C,57
2018-02-28 14:00:00,D,30
2018-02-28 14:00:00,E,895
2018-02-28 15:00:00,A,262
2018-02-28 15:00:00,B,20
2018-02-28 15:00:00,C,53
2018-02-28 15:00:00,D,25
2018-02-28 15:00:00,E,860
2018-02-28 16:00:00,A,302
2018-02-28 16:00:00,B,32
2018-02-28 16:00:00,C,45
2018-02-28 16:00:00,D,24
2018-02-28 16:00:00,E,1008
2018-02-28 17:00:00,A,384
2018-02-28 17:00:00,B,39
2018-02-28 17:00:00,C,69
2018-02-28 17:00:00,D,48
2018-02-28 17:00:00,E,1096
2018-02-28 18:00:00,A,421
2018-02-28 18:00:00,B,38
2018-02-28 18:00:00,C,80
2018-02-28 18:00:00,D,60
2018-02-28 18:00:00,E,1271
2018-02-28 19:00:00,A,502
2018-02-28 19:00:00,B,41
2018-02-28 19:00:00,C,79
2018-02-28 19:00:00,D,66
2018-02-28 19:00:00,E,1631
2018-02-28 20:00:00,A,447
2018-02-28 20:00:00,B,27
2018-02-28 20:00:00,C,77
2018-02-28 20:00:00,D,71
2018-02-28 20:00:00,E,1711
2018-02-28 21:00:00,A,280
2018-02-28 21:00:00,B,9
2018-02-28 21:00:00,C,39
2018-02-28 21:00:00,D,46
2018-02-28 21:00:00,E,1381
2018-02-28 22:00:00,A,104
2018-02-28 22:00:00,B,0
2018-02-28 22:00:00,C,9
2018-02-28 22:00:00,D,34
2018-02-28 22:00:00,E,1042
2018-02-28 23:00:00,A,46
2018-02-28 23:00:00,B,0
2018-02-28 23:00:00,C,0
2018-02-28 23:00:00,D,4
2018-02-28 23:00:00,E,564
